"Items","r.drop","Objectified","Marginalized","Strong","Angry","objORTH","margORTH","strORTH","angORTH2","objOBLQ","margOBLQ","strOBLQ","angOBLQ","PAF_OR_Mar","PAF_OR_Obj","PAF_OR_Ang","PAF_OR_Str","PAF_OB_Mar","PAF_OB_Obj","PAF_OB_Ang","PAF_OB_Str"
"Marg1",0.457855902365973,0.0962132250090293,0.806790537953785,-0.0337946370084189,-0.0199053100304192,0.0557020183061104,0.888363677496642,-0.0215684971508211,-0.0830180524924507,0.0331973419358984,0.891230328898801,-0.0257804651761791,-0.0809952959660909,0.907497612168897,0.0605557552593932,-0.0846208580630253,-0.0267642637630658,0.91164612157221,0.0296796228940842,-0.0805267683197828,-0.0226547298260609
"Marg2",0.380872268512783,-0.0327143072444151,0.681004428144519,0.0155653359115637,0.160359791467878,-0.088875836957854,0.796618925462442,0.0207516444919492,0.144562988296673,-0.108090821959735,0.792564337147495,0.011657031635391,0.142872596151857,0.762367098126721,-0.0827868318903048,0.142177232101759,0.0199396817502178,0.756544682824439,-0.107231089391324,0.141544864336306,0.0178156942193935
"Marg3",0.339321115328875,0.0582273237711884,0.602217601069428,-0.0639542683102955,0.0524506876061729,0.0280579262834803,0.728291187963478,-0.0796305163765546,0.02258716464653,0.0110365735608916,0.728930156723639,-0.083697266743483,0.0261491350571685,0.66417604414166,0.0319316045430551,0.026346883603787,-0.0726930890110774,0.665163363156284,0.00991489466598194,0.0319096740324932,-0.0705467455682508
"Marg4",0.407645224506834,0.160673604047775,0.562696166402632,-0.0537447089662338,0.086712930234942,0.157942536262308,0.690576801435682,-0.0989957287044436,0.0659888523612714,0.142481408916213,0.690710306925147,-0.097500197089476,0.0722880411882947,0.625672312104616,0.152528765727746,0.0632904867918559,-0.0871667851418529,0.626327441423151,0.132145329449086,0.0714467774692821,-0.080842969433307
"Marg5",0.384809167268007,0.203120539949995,0.520492612832468,-0.103504314313672,0.0421664625817145,0.211211104249877,0.650533890326691,-0.152693482551629,0.0149742682914248,0.197106912307723,0.652775591221489,-0.148840259159219,0.0239397975988502,0.584072404715588,0.199569652766921,0.018669034807819,-0.132782428583562,0.587585688396834,0.180239527999076,0.029751267069011,-0.124733411667082
"Marg6",0.281759616112203,0.0316872621658293,0.469522683731314,0.192453176729694,-0.134691618849228,-0.0278633045161809,0.609358602483444,0.316556637432507,-0.253462549161229,-0.0489790362427776,0.612434376171833,0.310843963767537,-0.264684797678831,0.552810600407202,-0.0173427761936395,-0.207886209221319,0.278506678732663,0.554098170053864,-0.0370372903605505,-0.221291991182855,0.280098271048491
"Marg7",0.232150238905046,-0.157644987632461,0.446815298049273,0.157766212282423,0.195134307392964,-0.239804354908359,0.56988778708572,0.217231508854331,0.225966001931893,-0.255370264231951,0.560894636701665,0.203821168752124,0.214996093693003,0.508518170646343,-0.213161474366967,0.194525357330434,0.188959864977371,0.496301617178153,-0.22868562612495,0.182811954603772,0.181717446919005
"Strong1",0.175936986614895,0.0356749857005915,0.00227508662248026,0.39886368495801,0.203780888101535,0.00425933046765168,-0.0301595361463322,0.613023732212194,0.265992598948312,-0.000987244965302732,-0.0441496787018874,0.613914574930841,0.244928064364224,-0.02186572079113,0.00803611314332582,0.213367485400102,0.517735748246513,-0.040901984060495,0.0108481545793668,0.187463669069821,0.518111591915258
"Strong2",0.127871580624173,0.0852705396317351,-0.0436195295845196,0.402439964202116,0.0152169173293335,0.0627045494194042,-0.0887796333325416,0.637882161987619,0.000883556985882558,0.0567602069040189,-0.0959634747095202,0.64122458137176,-0.0202523786137924,-0.0747770257328922,0.0608459028432236,0.00376043909479932,0.525856200572027,-0.0862189920684192,0.0639439627325359,-0.0220111616877271,0.528833462361805
"Strong3",0.134930265814961,0.154586094290112,-0.0611761591563761,0.38364963969455,-0.0776308889786913,0.160489485721934,-0.0990664172275185,0.603910896942331,-0.15002801646389,0.154219706279156,-0.101608416780107,0.611075093204269,-0.168500670331182,-0.0834064067204346,0.149193752779799,-0.113874223851378,0.495928710989763,-0.0894899749169519,0.15176044243052,-0.136856230436661,0.502489121960006
"Strong4",0.171146458193635,-0.00797353080349573,0.0380372250115344,0.430333679542279,0.208675540294621,-0.0583412503739241,0.00575693746959714,0.656241245609897,0.277874324311744,-0.0649875551193234,-0.0092302532961559,0.654375026629901,0.254339412503866,0.00801811382466579,-0.0495195371317079,0.232101221108192,0.579009860075405,-0.0133591465010445,-0.0475511195808266,0.202266721318069,0.577375333788892
"Strong5",0.193338094720591,0.0717362633776094,0.151088376104428,0.325586560097499,-0.0763758902325318,0.0421602345897941,0.170656366277638,0.55875010780487,-0.184000513155712,0.0294282694614669,0.169223721313129,0.559154194064099,-0.202676936216894,0.146698582177073,0.0467952722670523,-0.129041021927914,0.440399425764075,0.141860536049433,0.041438413234609,-0.150378277242666,0.443594545201279
"Angry1",0.223172971348927,0.17724187250078,0.0264683344047484,-0.0265767901775489,0.511151543147062,0.219390542194526,0.0083546350648164,-0.132509373500383,0.747174941307862,0.226265176645029,-0.0089255970599456,-0.122808347646294,0.75557440490264,0.00796938947829262,0.205108152754255,0.66170596769033,-0.113292479054478,-0.0120160502777157,0.209713361696685,0.671277430515099,-0.108361963533775
"Angry2",0.161950235485827,-0.0234641294498411,0.0483078893296588,0.157290606005839,0.536470184036352,-0.034946899939595,0.0307550570651789,0.134232621909174,0.771099734203607,-0.0320131833647538,0.00897376357419166,0.133609467943043,0.766236102077096,0.0298471192453599,-0.0346561791922036,0.675020220514167,0.131966383673163,0.00262150286059909,-0.0306236915777271,0.668455648190589,0.128552494019608
"Angry3",0.13277598876959,-0.086650829137789,0.0937123649640379,0.105016476885452,0.528890302024582,-0.109756807223019,0.0970450889460493,0.0614816055117878,0.774922930334988,-0.107554316895372,0.0757807814574881,0.0573493682090219,0.771422071381713,0.0912936103223938,-0.106092240267793,0.687375264902758,0.0639460704776697,0.0647440185737249,-0.104143700461934,0.68325583513078,0.0578726529088199
