"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label","lavaan_label"
"114","Oth7","~~","Oth7","0.601","0.053","0.000","[0.498, 0.705]","0.601***","0.856","0.029","0.000","[0.800, 0.912]","0.856***","2.000","Severe","Variances.Oth7.Severe",""
"115","Helplessness","~~","Helplessness","0.119","0.021","0.000","[0.079, 0.160]","0.119***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","Severe","Variances.Helplessness.Severe",""
"116","Minimization","~~","Minimization","0.174","0.044","0.000","[0.088, 0.259]","0.174***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","Severe","Variances.Minimization.Severe",""
"117","DenialPersonhood","~~","DenialPersonhood","0.212","0.034","0.000","[0.145, 0.279]","0.212***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","Severe","Variances.DenialPersonhood.Severe",""
"118","Otherization","~~","Otherization","0.267","0.040","0.000","[0.189, 0.346]","0.267***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","Severe","Variances.Otherization.Severe",""
"119","Helplessness","~~","Minimization","0.034","0.016","0.031","[0.003, 0.066]","0.034*","0.239","0.106","0.024","[0.032, 0.447]","0.239*","2.000","Severe","Helplessness.WITH.Minimization.Severe",""
"120","Helplessness","~~","DenialPersonhood","0.089","0.017","0.000","[0.057, 0.121]","0.089***","0.560","0.073","0.000","[0.417, 0.702]","0.560***","2.000","Severe","Helplessness.WITH.DenialPersonhood.Severe",""
"121","Helplessness","~~","Otherization","0.094","0.018","0.000","[0.059, 0.129]","0.094***","0.525","0.071","0.000","[0.386, 0.664]","0.525***","2.000","Severe","Helplessness.WITH.Otherization.Severe",""
"122","Minimization","~~","DenialPersonhood","0.060","0.022","0.006","[0.017, 0.103]","0.060**","0.312","0.106","0.003","[0.104, 0.520]","0.312**","2.000","Severe","Minimization.WITH.DenialPersonhood.Severe",""
"123","Minimization","~~","Otherization","0.115","0.025","0.000","[0.065, 0.165]","0.115***","0.532","0.095","0.000","[0.345, 0.719]","0.532***","2.000","Severe","Minimization.WITH.Otherization.Severe",""
"124","DenialPersonhood","~~","Otherization","0.113","0.023","0.000","[0.068, 0.158]","0.113***","0.474","0.075","0.000","[0.328, 0.621]","0.474***","2.000","Severe","DenialPersonhood.WITH.Otherization.Severe",""
"125","Help1","~1","","1.944","0.029","0.000","[1.887, 2.002]","1.944***","2.486","0.105","0.000","[2.280, 2.693]","2.486***","2.000","Severe","Means.Help1.Severe",".p51."
"126","Help2","~1","","2.400","0.033","0.000","[2.336, 2.463]","2.400***","2.890","0.119","0.000","[2.656, 3.124]","2.890***","2.000","Severe","Means.Help2.Severe",".p52."
"127","Help3","~1","","2.119","0.034","0.000","[2.053, 2.185]","2.119***","2.492","0.106","0.000","[2.284, 2.700]","2.492***","2.000","Severe","Means.Help3.Severe",".p53."
"128","Help4","~1","","2.254","0.034","0.000","[2.188, 2.321]","2.254***","2.850","0.120","0.000","[2.614, 3.086]","2.850***","2.000","Severe","Means.Help4.Severe",".p54."
"129","Help5","~1","","2.037","0.034","0.000","[1.969, 2.104]","2.037***","2.425","0.104","0.000","[2.221, 2.629]","2.425***","2.000","Severe","Means.Help5.Severe",".p55."
"130","Min1","~1","","2.394","0.033","0.000","[2.329, 2.459]","2.394***","2.970","0.129","0.000","[2.716, 3.223]","2.970***","2.000","Severe","Means.Min1.Severe",".p56."
"131","Min2","~1","","2.362","0.033","0.000","[2.298, 2.426]","2.362***","3.004","0.131","0.000","[2.748, 3.260]","3.004***","2.000","Severe","Means.Min2.Severe",".p57."
"132","Min3","~1","","2.621","0.031","0.000","[2.560, 2.682]","2.621***","3.285","0.141","0.000","[3.009, 3.561]","3.285***","2.000","Severe","Means.Min3.Severe",".p58."
"133","Per1","~1","","2.089","0.034","0.000","[2.022, 2.155]","2.089***","2.407","0.103","0.000","[2.206, 2.609]","2.407***","2.000","Severe","Means.Per1.Severe",".p59."
"134","Per2","~1","","2.087","0.030","0.000","[2.027, 2.146]","2.087***","2.553","0.107","0.000","[2.344, 2.762]","2.553***","2.000","Severe","Means.Per2.Severe",".p60."
"135","Per3","~1","","2.538","0.031","0.000","[2.477, 2.600]","2.538***","3.168","0.130","0.000","[2.913, 3.424]","3.168***","2.000","Severe","Means.Per3.Severe",".p61."
"136","Per4","~1","","2.418","0.031","0.000","[2.357, 2.479]","2.418***","2.991","0.124","0.000","[2.747, 3.234]","2.991***","2.000","Severe","Means.Per4.Severe",".p62."
"137","Per5","~1","","2.179","0.033","0.000","[2.114, 2.243]","2.179***","2.358","0.101","0.000","[2.161, 2.555]","2.358***","2.000","Severe","Means.Per5.Severe",".p63."
"138","Oth1","~1","","2.630","0.034","0.000","[2.564, 2.695]","2.630***","3.022","0.124","0.000","[2.780, 3.264]","3.022***","2.000","Severe","Means.Oth1.Severe",".p64."
"139","Oth2","~1","","2.616","0.032","0.000","[2.553, 2.679]","2.616***","3.386","0.139","0.000","[3.113, 3.658]","3.386***","2.000","Severe","Means.Oth2.Severe",".p65."
"140","Oth3","~1","","2.146","0.033","0.000","[2.082, 2.210]","2.146***","2.546","0.107","0.000","[2.337, 2.755]","2.546***","2.000","Severe","Means.Oth3.Severe",".p66."
"141","Oth4","~1","","2.414","0.034","0.000","[2.348, 2.481]","2.414***","2.773","0.117","0.000","[2.545, 3.002]","2.773***","2.000","Severe","Means.Oth4.Severe",".p67."
"142","Oth5","~1","","2.519","0.029","0.000","[2.462, 2.576]","2.519***","3.529","0.146","0.000","[3.243, 3.816]","3.529***","2.000","Severe","Means.Oth5.Severe",".p68."
"143","Oth6","~1","","2.601","0.030","0.000","[2.542, 2.659]","2.601***","3.343","0.140","0.000","[3.070, 3.617]","3.343***","2.000","Severe","Means.Oth6.Severe",".p69."
"144","Oth7","~1","","2.129","0.031","0.000","[2.069, 2.190]","2.129***","2.540","0.108","0.000","[2.328, 2.753]","2.540***","2.000","Severe","Means.Oth7.Severe",".p70."
"145","Helplessness","~1","","0.541","0.044","0.000","[0.455, 0.628]","0.541***","1.567","0.132","0.000","[1.308, 1.827]","1.567***","2.000","Severe","Means.Helplessness.Severe",""
"146","Minimization","~1","","0.332","0.051","0.000","[0.232, 0.432]","0.332***","0.797","0.137","0.000","[0.528, 1.065]","0.797***","2.000","Severe","Means.Minimization.Severe",""
"147","DenialPersonhood","~1","","0.604","0.050","0.000","[0.505, 0.702]","0.604***","1.311","0.123","0.000","[1.071, 1.552]","1.311***","2.000","Severe","Means.DenialPersonhood.Severe",""
"148","Otherization","~1","","0.485","0.049","0.000","[0.388, 0.582]","0.485***","0.938","0.102","0.000","[0.737, 1.139]","0.938***","2.000","Severe","Means.Otherization.Severe",""
